ward_2022,group,count_2020
Cudahy - C 0005,vap_hisp,117
Cudahy - C 0005,vap_nhpi,0
Cudahy - C 0005,vap_other,2
Cudahy - C 0005,vap_two,25
Cudahy - C 0005,vap_white,682
Cudahy - C 0006,vap,961
Cudahy - C 0006,vap_aian,6
Cudahy - C 0006,vap_asian,23
Cudahy - C 0006,vap_black,24
Cudahy - C 0006,vap_hisp,131
Cudahy - C 0006,vap_nhpi,0
Cudahy - C 0006,vap_other,1
Cudahy - C 0006,vap_two,33
Cudahy - C 0006,vap_white,743
Cudahy - C 0007,vap,986
Cudahy - C 0007,vap_aian,16
Cudahy - C 0007,vap_asian,18
Cudahy - C 0007,vap_black,39
Cudahy - C 0007,vap_hisp,196
Cudahy - C 0007,vap_nhpi,1
Cudahy - C 0007,vap_other,11
Cudahy - C 0007,vap_two,43
Cudahy - C 0007,vap_white,662
Cudahy - C 0008,vap,973
Cudahy - C 0008,vap_aian,9
Cudahy - C 0008,vap_asian,28
Cudahy - C 0008,vap_black,76
Cudahy - C 0008,vap_hisp,126
Cudahy - C 0008,vap_nhpi,2
Cudahy - C 0008,vap_other,0
Cudahy - C 0008,vap_two,43
Cudahy - C 0008,vap_white,689
Cudahy - C 0009,vap,852
Cudahy - C 0009,vap_aian,10
Cudahy - C 0009,vap_asian,2
Cudahy - C 0009,vap_black,65
Cudahy - C 0009,vap_hisp,141
Cudahy - C 0009,vap_nhpi,1
Cudahy - C 0009,vap_other,2
Cudahy - C 0009,vap_two,35
Cudahy - C 0009,vap_white,596
Cudahy - C 0010,vap,876
Cudahy - C 0010,vap_aian,3
Cudahy - C 0010,vap_asian,24
Cudahy - C 0010,vap_black,29
Cudahy - C 0010,vap_hisp,75
Cudahy - C 0010,vap_nhpi,0
Cudahy - C 0010,vap_other,3
Cudahy - C 0010,vap_two,29
Cudahy - C 0010,vap_white,713
Cudahy - C 0011,vap,1014
Cudahy - C 0011,vap_aian,3
Cudahy - C 0011,vap_asian,16
Cudahy - C 0011,vap_black,20
Cudahy - C 0011,vap_hisp,102
Cudahy - C 0011,vap_nhpi,0
Cudahy - C 0011,vap_other,1
Cudahy - C 0011,vap_two,38
Cudahy - C 0011,vap_white,834
Cudahy - C 0012,vap,1031
Cudahy - C 0012,vap_aian,3
Cudahy - C 0012,vap_asian,20
Cudahy - C 0012,vap_black,28
Cudahy - C 0012,vap_hisp,78
Cudahy - C 0012,vap_nhpi,0
Cudahy - C 0012,vap_other,0
Cudahy - C 0012,vap_two,19
Cudahy - C 0012,vap_white,883
Cudahy - C 0013,vap,904
Cudahy - C 0013,vap_aian,1
Cudahy - C 0013,vap_asian,11
Cudahy - C 0013,vap_black,51
Cudahy - C 0013,vap_hisp,161
Cudahy - C 0013,vap_nhpi,0
Cudahy - C 0013,vap_other,2
Cudahy - C 0013,vap_two,18
Cudahy - C 0013,vap_white,660
Cudahy - C 0014,vap,1038
Cudahy - C 0014,vap_aian,6
Cudahy - C 0014,vap_asian,6
Cudahy - C 0014,vap_black,14
Cudahy - C 0014,vap_hisp,99
Cudahy - C 0014,vap_nhpi,0
Cudahy - C 0014,vap_other,4
