ward_2011,group,count_2010,est_2012,est_2014,est_2016,est_2018,count_2020
Brown Deer - V 3,vap_aian,4,3.2,2.4,1.6,0.7999999999999998,0
Brown Deer - V 3,vap_asian,66,75.8,85.6,95.4,105.2,115
Brown Deer - V 3,vap_black,407,430.6,454.2,477.8,501.4,525
Brown Deer - V 3,vap_hisp,29,33.6,38.2,42.8,47.400000000000006,52
Brown Deer - V 3,vap_nhpi,0,0,0,0,0,0
Brown Deer - V 3,vap_other,3,3,3,3,3,3
Brown Deer - V 3,vap_two,14,15.8,17.6,19.4,21.2,23
Brown Deer - V 3,vap_white,726,690.6,655.2,619.8,584.4,549
Brown Deer - V 4,vap,1896,1911.6,1927.2,1942.8,1958.4,1974
Brown Deer - V 4,vap_aian,20,18.4,16.8,15.2,13.6,12
Brown Deer - V 4,vap_asian,79,91.8,104.6,117.4,130.2,143
Brown Deer - V 4,vap_black,285,329.6,374.2,418.79999999999995,463.4,508
Brown Deer - V 4,vap_hisp,82,87,92,97,102,107
Brown Deer - V 4,vap_nhpi,2,2.6,3.2,3.8,4.4,5
Brown Deer - V 4,vap_other,2,3,4,5,6,7
Brown Deer - V 4,vap_two,35,43.8,52.6,61.4,70.2,79
Brown Deer - V 4,vap_white,1391,1335.4,1279.8,1224.2,1168.6,1113
Brown Deer - V 5,vap,1573,1586,1599,1612,1625,1638
Brown Deer - V 5,vap_aian,4,4,4,4,4,4
Brown Deer - V 5,vap_asian,52,58.6,65.2,71.8,78.4,85
Brown Deer - V 5,vap_black,503,519.6,536.2,552.8,569.4,586
Brown Deer - V 5,vap_hisp,59,69,79,89,99,109
Brown Deer - V 5,vap_nhpi,0,0,0,0,0,0
Brown Deer - V 5,vap_other,2,3.2,4.4,5.6,6.800000000000001,8
Brown Deer - V 5,vap_two,20,24.8,29.6,34.4,39.2,44
Brown Deer - V 5,vap_white,933,906.8,880.6,854.4,828.2,802
Brown Deer - V 6,vap,1528,1563.4,1598.8,1634.2,1669.6,1705
Brown Deer - V 6,vap_aian,1,1.6,2.2,2.8,3.4000000000000004,4
Brown Deer - V 6,vap_asian,41,51.4,61.8,72.2,82.6,93
Brown Deer - V 6,vap_black,263,327.4,391.8,456.2,520.6,585
Brown Deer - V 6,vap_hisp,45,47.8,50.6,53.4,56.2,59
Brown Deer - V 6,vap_nhpi,0,0.2,0.4,0.6,0.8,1
Brown Deer - V 6,vap_other,1,0.8,0.6,0.4,0.19999999999999996,0
Brown Deer - V 6,vap_two,20,26.2,32.4,38.599999999999994,44.8,51
Brown Deer - V 6,vap_white,1157,1108,1059,1010,961,912
Cudahy - C 1,vap,1448,1453,1458,1463,1468,1473
Cudahy - C 1,vap_aian,4,4.6,5.2,5.8,6.4,7
Cudahy - C 1,vap_asian,19,18.8,18.6,18.4,18.2,18
Cudahy - C 1,vap_black,16,23.8,31.6,39.4,47.2,55
Cudahy - C 1,vap_hisp,101,110,119,128,137,146
Cudahy - C 1,vap_nhpi,0,0,0,0,0,0
Cudahy - C 1,vap_other,1,1.6,2.2,2.8,3.4000000000000004,4
Cudahy - C 1,vap_two,13,23.6,34.2,44.8,55.400000000000006,66
Cudahy - C 1,vap_white,1294,1270.6,1247.2,1223.8,1200.4,1177
Cudahy - C 10,vap,971,970.6,970.2,969.8,969.4,969
Cudahy - C 10,vap_aian,4,4.4,4.8,5.2,5.6,6
Cudahy - C 10,vap_asian,5,5.2,5.4,5.6,5.8,6
Cudahy - C 10,vap_black,2,4.4,6.800000000000001,9.2,11.600000000000001,14
Cudahy - C 10,vap_hisp,23,38,53,68,83,98
Cudahy - C 10,vap_nhpi,0,0,0,0,0,0
Cudahy - C 10,vap_other,0,0.2,0.4,0.6,0.8,1
Cudahy - C 10,vap_two,6,9.6,13.2,16.799999999999997,20.4,24
Cudahy - C 10,vap_white,931,908.8,886.6,864.4,842.2,820
Cudahy - C 11,vap,762,775,788,801,814,827
Cudahy - C 11,vap_aian,5,4.6,4.2,3.8,3.4,3
Cudahy - C 11,vap_asian,7,5.6,4.199999999999999,2.8,1.3999999999999995,0
Cudahy - C 11,vap_black,32,34.2,36.4,38.6,40.8,43
Cudahy - C 11,vap_hisp,41,52,63,74,85,96
Cudahy - C 11,vap_nhpi,0,0,0,0,0,0
Cudahy - C 11,vap_other,0,0.4,0.8,1.2,1.6,2
Cudahy - C 11,vap_two,5,7,9,11,13,15
Cudahy - C 11,vap_white,672,671.2,670.4,669.6,668.8,668
Cudahy - C 12,vap,1113,1120,1127,1134,1141,1148
Cudahy - C 12,vap_aian,5,4.6,4.2,3.8,3.4,3
Cudahy - C 12,vap_asian,30,31,32,33,34,35
