ward_2002,group,count_2000,est_2002,est_2004,est_2006,est_2008,count_2010
Bayside - V 1,vap,595,571.2,547.4,523.6,499.8,476
Bayside - V 1,vap_aian,2,2,2,2,2,2
Bayside - V 1,vap_asian,6,13,20,27,34,41
Bayside - V 1,vap_black,44,42.2,40.4,38.6,36.8,35
Bayside - V 1,vap_hisp,9,8.8,8.6,8.4,8.2,8
Bayside - V 1,vap_nhpi,0,0,0,0,0,0
Bayside - V 1,vap_other,2,2,2,2,2,2
Bayside - V 1,vap_two,2,2,2,2,2,2
Bayside - V 1,vap_white,530,501.2,472.4,443.6,414.8,386
Bayside - V 2,vap,653,649.4,645.8,642.2,638.6,635
Bayside - V 2,vap_aian,1,1,1,1,1,1
Bayside - V 2,vap_asian,15,16,17,18,19,20
Bayside - V 2,vap_black,14,15.6,17.2,18.8,20.4,22
Bayside - V 2,vap_hisp,12,13.4,14.8,16.2,17.6,19
Bayside - V 2,vap_nhpi,0,0.6000000000000001,1.2000000000000002,1.7999999999999998,2.4000000000000004,3
Bayside - V 2,vap_other,0,0,0,0,0,0
Bayside - V 2,vap_two,0,1.4000000000000001,2.8000000000000003,4.2,5.6000000000000005,7
Bayside - V 2,vap_white,611,601.4,591.8,582.2,572.6,563
Bayside - V 3,vap,626,625.6,625.2,624.8,624.4,624
Bayside - V 3,vap_aian,0,0.8,1.6,2.4,3.2,4
Bayside - V 3,vap_asian,9,11.2,13.4,15.6,17.8,20
Bayside - V 3,vap_black,9,8.8,8.6,8.4,8.2,8
Bayside - V 3,vap_hisp,11,11.6,12.2,12.8,13.4,14
Bayside - V 3,vap_nhpi,0,0,0,0,0,0
Bayside - V 3,vap_other,0,0,0,0,0,0
Bayside - V 3,vap_two,3,5,7,9,11,13
Bayside - V 3,vap_white,594,588.2,582.4,576.6,570.8,565
Bayside - V 4,vap,513,522.2,531.4,540.6,549.8,559
Bayside - V 4,vap_aian,0,0,0,0,0,0
Bayside - V 4,vap_asian,6,7.8,9.6,11.399999999999999,13.2,15
Bayside - V 4,vap_black,17,17.2,17.4,17.6,17.8,18
Bayside - V 4,vap_hisp,10,10.4,10.8,11.2,11.6,12
Bayside - V 4,vap_nhpi,0,0,0,0,0,0
Bayside - V 4,vap_other,0,0,0,0,0,0
Bayside - V 4,vap_two,0,0.6000000000000001,1.2000000000000002,1.7999999999999998,2.4000000000000004,3
Bayside - V 4,vap_white,480,486.2,492.4,498.6,504.8,511
Bayside - V 5,vap,573,572.4,571.8,571.2,570.6,570
Bayside - V 5,vap_aian,0,0,0,0,0,0
Bayside - V 5,vap_asian,17,16.2,15.4,14.6,13.8,13
Bayside - V 5,vap_black,5,6.8,8.6,10.399999999999999,12.2,14
Bayside - V 5,vap_hisp,8,9.2,10.4,11.6,12.8,14
Bayside - V 5,vap_nhpi,4,3.2,2.4,1.6,0.7999999999999998,0
Bayside - V 5,vap_other,0,0,0,0,0,0
Bayside - V 5,vap_two,0,0.6000000000000001,1.2000000000000002,1.7999999999999998,2.4000000000000004,3
Bayside - V 5,vap_white,539,536.4,533.8,531.2,528.6,526
Bayside - V 7,vap,436,433,430,427,424,421
Bayside - V 7,vap_aian,1,1.2,1.4,1.6,1.8,2
Bayside - V 7,vap_asian,6,6,6,6,6,6
Bayside - V 7,vap_black,9,9.8,10.6,11.4,12.2,13
Bayside - V 7,vap_hisp,4,4.8,5.6,6.4,7.2,8
Bayside - V 7,vap_nhpi,0,0,0,0,0,0
Bayside - V 7,vap_other,0,0,0,0,0,0
Bayside - V 7,vap_two,3,3,3,3,3,3
Bayside - V 7,vap_white,413,408.2,403.4,398.6,393.8,389
Brown Deer - V 1,vap,1074,1101,1128,1155,1182,1209
Brown Deer - V 1,vap_aian,1,1,1,1,1,1
Brown Deer - V 1,vap_asian,28,38.2,48.400000000000006,58.599999999999994,68.80000000000001,79
Brown Deer - V 1,vap_black,183,218.6,254.2,289.8,325.4,361
Brown Deer - V 1,vap_hisp,14,16.6,19.2,21.8,24.4,27
Brown Deer - V 1,vap_nhpi,0,0,0,0,0,0
Brown Deer - V 1,vap_other,0,0,0,0,0,0
Brown Deer - V 1,vap_two,11,12.6,14.2,15.8,17.4,19
