ward_2002,group,count_2000,est_2002,est_2004,est_2006,est_2008,count_2010
Brown Deer - V 1,vap_white,837,814,791,768,745,722
Brown Deer - V 2,vap,1400,1373.2,1346.4,1319.6,1292.8,1266
Brown Deer - V 2,vap_aian,2,2.2,2.4,2.6,2.8,3
Brown Deer - V 2,vap_asian,32,36.2,40.4,44.6,48.8,53
Brown Deer - V 2,vap_black,229,267.4,305.8,344.2,382.6,421
Brown Deer - V 2,vap_hisp,45,43.6,42.2,40.8,39.4,38
Brown Deer - V 2,vap_nhpi,1,1,1,1,1,1
Brown Deer - V 2,vap_other,3,3.2,3.4,3.6,3.8,4
Brown Deer - V 2,vap_two,20,20.4,20.8,21.2,21.6,22
Brown Deer - V 2,vap_white,1068,999.2,930.4,861.6,792.8,724
Brown Deer - V 3,vap,1267,1249,1231,1213,1195,1177
Brown Deer - V 3,vap_aian,1,1.2,1.4,1.6,1.8,2
Brown Deer - V 3,vap_asian,64,59.6,55.2,50.8,46.4,42
Brown Deer - V 3,vap_black,114,165.2,216.4,267.6,318.8,370
Brown Deer - V 3,vap_hisp,22,24,26,28,30,32
Brown Deer - V 3,vap_nhpi,2,1.6,1.2,0.8,0.3999999999999999,0
Brown Deer - V 3,vap_other,0,0,0,0,0,0
Brown Deer - V 3,vap_two,13,15.2,17.4,19.6,21.8,24
Brown Deer - V 3,vap_white,1051,982.2,913.4,844.6,775.8,707
Brown Deer - V 4,vap,1213,1220.2,1227.4,1234.6,1241.8,1249
Brown Deer - V 4,vap_aian,3,3.2,3.4,3.6,3.8,4
Brown Deer - V 4,vap_asian,35,41.2,47.4,53.599999999999994,59.8,66
Brown Deer - V 4,vap_black,234,268.6,303.2,337.8,372.4,407
Brown Deer - V 4,vap_hisp,22,23.4,24.8,26.2,27.6,29
Brown Deer - V 4,vap_nhpi,0,0,0,0,0,0
Brown Deer - V 4,vap_other,2,2.2,2.4,2.6,2.8,3
Brown Deer - V 4,vap_two,22,20.4,18.8,17.2,15.6,14
Brown Deer - V 4,vap_white,895,861.2,827.4,793.6,759.8,726
Brown Deer - V 5,vap,1062,1057.8,1053.6,1049.4,1045.2,1041
Brown Deer - V 5,vap_aian,2,4.4,6.800000000000001,9.2,11.600000000000001,14
Brown Deer - V 5,vap_asian,31,32.8,34.6,36.4,38.2,40
Brown Deer - V 5,vap_black,79,96.8,114.6,132.4,150.2,168
Brown Deer - V 5,vap_hisp,16,21.8,27.6,33.4,39.2,45
Brown Deer - V 5,vap_nhpi,0,0.2,0.4,0.6,0.8,1
Brown Deer - V 5,vap_other,2,1.8,1.6,1.4,1.2,1
Brown Deer - V 5,vap_two,11,13,15,17,19,21
Brown Deer - V 5,vap_white,921,887,853,819,785,751
Brown Deer - V 6,vap,1026,1023.6,1021.2,1018.8,1016.4,1014
Brown Deer - V 6,vap_aian,3,3,3,3,3,3
Brown Deer - V 6,vap_asian,19,18.2,17.4,16.6,15.8,15
Brown Deer - V 6,vap_black,158,197.2,236.4,275.6,314.8,354
Brown Deer - V 6,vap_hisp,33,34.2,35.4,36.6,37.8,39
Brown Deer - V 6,vap_nhpi,1,0.8,0.6,0.4,0.19999999999999996,0
Brown Deer - V 6,vap_other,2,2,2,2,2,2
Brown Deer - V 6,vap_two,12,12.8,13.6,14.4,15.2,16
Brown Deer - V 6,vap_white,798,755.4,712.8,670.2,627.6,585
Brown Deer - V 7,vap,870,867,864,861,858,855
Brown Deer - V 7,vap_aian,4,4.4,4.8,5.2,5.6,6
Brown Deer - V 7,vap_asian,15,19.8,24.6,29.4,34.2,39
Brown Deer - V 7,vap_black,32,49,66,83,100,117
Brown Deer - V 7,vap_hisp,14,18.6,23.200000000000003,27.799999999999997,32.400000000000006,37
Brown Deer - V 7,vap_nhpi,0,0.2,0.4,0.6,0.8,1
Brown Deer - V 7,vap_other,2,1.8,1.6,1.4,1.2,1
Brown Deer - V 7,vap_two,3,5.2,7.4,9.6,11.8,14
Brown Deer - V 7,vap_white,800,768,736,704,672,640
Brown Deer - V 8,vap,807,800.8,794.6,788.4,782.2,776
Brown Deer - V 8,vap_aian,1,0.8,0.6,0.4,0.19999999999999996,0
Brown Deer - V 8,vap_asian,20,22.4,24.8,27.2,29.6,32
Brown Deer - V 8,vap_black,68,84.4,100.80000000000001,117.19999999999999,133.60000000000002,150
Brown Deer - V 8,vap_hisp,10,14.2,18.4,22.6,26.8,31
Brown Deer - V 8,vap_nhpi,0,0,0,0,0,0
Brown Deer - V 8,vap_other,1,1,1,1,1,1
Brown Deer - V 8,vap_two,3,5.2,7.4,9.6,11.8,14
Brown Deer - V 8,vap_white,704,672.8,641.6,610.4,579.2,548
Brown Deer - V 9,vap,1063,1031.8,1000.6,969.4,938.2,907
Brown Deer - V 9,vap_aian,2,1.8,1.6,1.4,1.2,1
Brown Deer - V 9,vap_asian,8,11.2,14.4,17.6,20.8,24
Brown Deer - V 9,vap_black,56,78.6,101.2,123.8,146.4,169
Brown Deer - V 9,vap_hisp,9,12,15,18,21,24
Brown Deer - V 9,vap_nhpi,0,0,0,0,0,0
Brown Deer - V 9,vap_other,0,0,0,0,0,0
Brown Deer - V 9,vap_two,4,4.4,4.8,5.2,5.6,6
Brown Deer - V 9,vap_white,984,923.8,863.6,803.4,743.2,683
Cudahy - C 1,vap,717,717,717,717,717,717
Cudahy - C 1,vap_aian,2,2.4,2.8,3.2,3.6,4
Cudahy - C 1,vap_asian,4,3.6,3.2,2.8,2.4,2
Cudahy - C 1,vap_black,1,2.4000000000000004,3.8000000000000003,5.2,6.6000000000000005,8
Cudahy - C 1,vap_hisp,27,30.6,34.2,37.8,41.4,45
Cudahy - C 1,vap_nhpi,0,0,0,0,0,0
Cudahy - C 1,vap_other,0,0,0,0,0,0
Cudahy - C 1,vap_two,3,2.8,2.6,2.4,2.2,2
Cudahy - C 1,vap_white,680,675.2,670.4,665.6,660.8,656
Cudahy - C 10,vap,1116,1112.2,1108.4,1104.6,1100.8,1097
Cudahy - C 10,vap_aian,6,5.8,5.6,5.4,5.2,5
Cudahy - C 10,vap_asian,6,6,6,6,6,6
Cudahy - C 10,vap_black,4,6,8,10,12,14
Cudahy - C 10,vap_hisp,18,19.6,21.2,22.8,24.4,26
Cudahy - C 10,vap_nhpi,0,0,0,0,0,0
Cudahy - C 10,vap_other,1,0.8,0.6,0.4,0.19999999999999996,0
Cudahy - C 10,vap_two,4,4.4,4.8,5.2,5.6,6
Cudahy - C 10,vap_white,1077,1069.6,1062.2,1054.8,1047.4,1040
Cudahy - C 11,vap,928,925.4,922.8,920.2,917.6,915
Cudahy - C 11,vap_aian,8,7,6,5,4,3
Cudahy - C 11,vap_asian,11,13,15,17,19,21
Cudahy - C 11,vap_black,8,12.2,16.4,20.6,24.8,29
Cudahy - C 11,vap_hisp,31,39.4,47.8,56.2,64.6,73
Cudahy - C 11,vap_nhpi,0,0,0,0,0,0
Cudahy - C 11,vap_other,0,0,0,0,0,0
Cudahy - C 11,vap_two,7,6.4,5.8,5.2,4.6,4
Cudahy - C 11,vap_white,863,847.4,831.8,816.2,800.6,785
Cudahy - C 12,vap,754,746.8,739.6,732.4,725.2,718
Cudahy - C 12,vap_aian,2,2.2,2.4,2.6,2.8,3
Cudahy - C 12,vap_asian,11,11.4,11.8,12.2,12.6,13
Cudahy - C 12,vap_black,1,3.4000000000000004,5.800000000000001,8.2,10.600000000000001,13
Cudahy - C 12,vap_hisp,16,21.8,27.6,33.4,39.2,45
Cudahy - C 12,vap_nhpi,0,0.2,0.4,0.6,0.8,1
Cudahy - C 12,vap_other,0,0,0,0,0,0
Cudahy - C 12,vap_two,10,8.6,7.199999999999999,5.8,4.3999999999999995,3
Cudahy - C 12,vap_white,714,699.2,684.4,669.6,654.8,640
Cudahy - C 13,vap,639,625.2,611.4,597.6,583.8,570
Cudahy - C 13,vap_aian,4,4,4,4,4,4
Cudahy - C 13,vap_asian,7,8,9,10,11,12
Cudahy - C 13,vap_black,3,4.4,5.800000000000001,7.2,8.600000000000001,10
Cudahy - C 13,vap_hisp,11,17.2,23.4,29.599999999999998,35.8,42
Cudahy - C 13,vap_nhpi,0,0,0,0,0,0
Cudahy - C 13,vap_other,0,0,0,0,0,0
Cudahy - C 13,vap_two,5,5.2,5.4,5.6,5.8,6
Cudahy - C 13,vap_white,609,586.4,563.8,541.2,518.6,496
Cudahy - C 14,vap,792,797.4,802.8,808.2,813.6,819
Cudahy - C 14,vap_aian,3,3.6,4.2,4.8,5.4,6
Cudahy - C 14,vap_asian,5,7.4,9.8,12.2,14.600000000000001,17
Cudahy - C 14,vap_black,0,0.8,1.6,2.4,3.2,4
Cudahy - C 14,vap_hisp,19,23,27,31,35,39
Cudahy - C 14,vap_nhpi,0,0,0,0,0,0
Cudahy - C 14,vap_other,0,0,0,0,0,0
Cudahy - C 14,vap_two,10,9.6,9.2,8.8,8.4,8
Cudahy - C 14,vap_white,755,753,751,749,747,745
Cudahy - C 15,vap,1633,1711.6,1790.2,1868.8,1947.4,2026
Cudahy - C 15,vap_aian,12,11.2,10.4,9.6,8.8,8
Cudahy - C 15,vap_asian,9,14.600000000000001,20.200000000000003,25.8,31.400000000000002,37
Cudahy - C 15,vap_black,12,13.8,15.6,17.4,19.2,21
Cudahy - C 15,vap_hisp,32,39.4,46.8,54.2,61.6,69
Cudahy - C 15,vap_nhpi,0,0.2,0.4,0.6,0.8,1
Cudahy - C 15,vap_other,1,0.8,0.6,0.4,0.19999999999999996,0
Cudahy - C 15,vap_two,10,11.4,12.8,14.2,15.600000000000001,17
Cudahy - C 15,vap_white,1557,1620.2,1683.4,1746.6,1809.8,1873
Cudahy - C 2,vap,702,701,700,699,698,697
Cudahy - C 2,vap_aian,3,3.4,3.8,4.2,4.6,5
Cudahy - C 2,vap_asian,5,4.6,4.2,3.8,3.4,3
Cudahy - C 2,vap_black,3,6.2,9.4,12.6,15.8,19
Cudahy - C 2,vap_hisp,23,29,35,41,47,53
Cudahy - C 2,vap_nhpi,0,0,0,0,0,0
Cudahy - C 2,vap_other,0,0,0,0,0,0
Cudahy - C 2,vap_two,6,5.6,5.2,4.8,4.4,4
Cudahy - C 2,vap_white,662,652.2,642.4,632.6,622.8,613
Cudahy - C 3,vap,1356,1374.4,1392.8,1411.2,1429.6,1448
Cudahy - C 3,vap_aian,4,4,4,4,4,4
Cudahy - C 3,vap_asian,8,10.2,12.4,14.6,16.8,19
Cudahy - C 3,vap_black,2,4.800000000000001,7.6000000000000005,10.4,13.200000000000001,16
Cudahy - C 3,vap_hisp,44,55.4,66.8,78.19999999999999,89.6,101
Cudahy - C 3,vap_nhpi,1,0.8,0.6,0.4,0.19999999999999996,0
Cudahy - C 3,vap_other,2,1.8,1.6,1.4,1.2,1
Cudahy - C 3,vap_two,21,19.4,17.8,16.2,14.6,13
Cudahy - C 3,vap_white,1274,1278,1282,1286,1290,1294
Cudahy - C 4,vap,1092,1087,1082,1077,1072,1067
Cudahy - C 4,vap_aian,8,10.4,12.8,15.2,17.6,20
Cudahy - C 4,vap_asian,14,14.2,14.4,14.6,14.8,15
Cudahy - C 4,vap_black,11,16.4,21.8,27.2,32.6,38
Cudahy - C 4,vap_hisp,30,46.8,63.6,80.4,97.2,114
Cudahy - C 4,vap_nhpi,0,0,0,0,0,0
Cudahy - C 4,vap_other,0,0,0,0,0,0
Cudahy - C 4,vap_two,19,16.4,13.8,11.2,8.6,6
Cudahy - C 4,vap_white,1010,982.8,955.6,928.4,901.2,874
Cudahy - C 5,vap,982,977.6,973.2,968.8,964.4,960
Cudahy - C 5,vap_aian,5,5.2,5.4,5.6,5.8,6
Cudahy - C 5,vap_asian,3,5.800000000000001,8.600000000000001,11.4,14.200000000000001,17
Cudahy - C 5,vap_black,9,9.8,10.6,11.4,12.2,13
Cudahy - C 5,vap_hisp,39,45.8,52.6,59.4,66.2,73
Cudahy - C 5,vap_nhpi,0,0.2,0.4,0.6,0.8,1
Cudahy - C 5,vap_other,0,0,0,0,0,0
Cudahy - C 5,vap_two,1,2.8,4.6,6.3999999999999995,8.2,10
Cudahy - C 5,vap_white,925,908,891,874,857,840
Cudahy - C 6,vap,875,874.4,873.8,873.2,872.6,872
Cudahy - C 6,vap_aian,6,6.2,6.4,6.6,6.8,7
Cudahy - C 6,vap_asian,16,16.6,17.2,17.8,18.4,19
Cudahy - C 6,vap_black,0,1.8,3.6,5.3999999999999995,7.2,9
Cudahy - C 6,vap_hisp,20,25.2,30.4,35.6,40.8,46
Cudahy - C 6,vap_nhpi,1,0.8,0.6,0.4,0.19999999999999996,0
Cudahy - C 6,vap_other,1,0.8,0.6,0.4,0.19999999999999996,0
Cudahy - C 6,vap_two,6,7.2,8.4,9.6,10.8,12
Cudahy - C 6,vap_white,825,815.8,806.6,797.4,788.2,779
Cudahy - C 7,vap,928,907.4,886.8,866.2,845.6,825
Cudahy - C 7,vap_aian,18,16,14,12,10,8
Cudahy - C 7,vap_asian,3,4,5,6,7,8
Cudahy - C 7,vap_black,9,15.600000000000001,22.200000000000003,28.8,35.400000000000006,42
Cudahy - C 7,vap_hisp,37,45.8,54.6,63.4,72.2,81
Cudahy - C 7,vap_nhpi,0,0,0,0,0,0
Cudahy - C 7,vap_other,5,4,3,2,1,0
Cudahy - C 7,vap_two,11,11.2,11.4,11.6,11.8,12
Cudahy - C 7,vap_white,845,810.8,776.6,742.4,708.2,674
Cudahy - C 8,vap,729,729,729,729,729,729
Cudahy - C 8,vap_aian,5,6.4,7.800000000000001,9.2,10.600000000000001,12
Cudahy - C 8,vap_asian,2,4,6,8,10,12
Cudahy - C 8,vap_black,9,9.6,10.2,10.8,11.4,12
Cudahy - C 8,vap_hisp,28,35.4,42.8,50.2,57.6,65
Cudahy - C 8,vap_nhpi,0,0.4,0.8,1.2,1.6,2
Cudahy - C 8,vap_other,2,1.8,1.6,1.4,1.2,1
Cudahy - C 8,vap_two,10,10.4,10.8,11.2,11.6,12
Cudahy - C 8,vap_white,673,661,649,637,625,613
Cudahy - C 9,vap,944,932.8,921.6,910.4,899.2,888
Cudahy - C 9,vap_aian,5,6.8,8.6,10.399999999999999,12.2,14
Cudahy - C 9,vap_asian,14,11.6,9.2,6.800000000000001,4.399999999999999,2
Cudahy - C 9,vap_black,16,23.6,31.200000000000003,38.8,46.400000000000006,54
Cudahy - C 9,vap_hisp,101,105,109,113,117,121
Cudahy - C 9,vap_nhpi,1,0.8,0.6,0.4,0.19999999999999996,0
Cudahy - C 9,vap_other,0,0,0,0,0,0
Cudahy - C 9,vap_two,16,15,14,13,12,11
Cudahy - C 9,vap_white,791,770,749,728,707,686
Fox Point - V 1,vap,477,473.4,469.8,466.2,462.6,459
Fox Point - V 1,vap_aian,1,0.8,0.6,0.4,0.19999999999999996,0
Fox Point - V 1,vap_asian,9,9.4,9.8,10.2,10.6,11
Fox Point - V 1,vap_black,2,1.8,1.6,1.4,1.2,1
Fox Point - V 1,vap_hisp,0,0.6000000000000001,1.2000000000000002,1.7999999999999998,2.4000000000000004,3
Fox Point - V 1,vap_nhpi,0,0,0,0,0,0
Fox Point - V 1,vap_other,0,0,0,0,0,0
Fox Point - V 1,vap_two,4,3.8,3.6,3.4,3.2,3
Fox Point - V 1,vap_white,461,457,453,449,445,441
Fox Point - V 2,vap,586,585.4,584.8,584.2,583.6,583
Fox Point - V 2,vap_aian,0,0,0,0,0,0
Fox Point - V 2,vap_asian,6,8.2,10.4,12.6,14.8,17
Fox Point - V 2,vap_black,5,6.6,8.2,9.8,11.4,13
Fox Point - V 2,vap_hisp,0,1.2000000000000002,2.4000000000000004,3.5999999999999996,4.800000000000001,6
Fox Point - V 2,vap_nhpi,0,0,0,0,0,0
Fox Point - V 2,vap_other,2,1.6,1.2,0.8,0.3999999999999999,0
Fox Point - V 2,vap_two,4,4.2,4.4,4.6,4.8,5
Fox Point - V 2,vap_white,569,563.6,558.2,552.8,547.4,542
Fox Point - V 3,vap,620,613.6,607.2,600.8,594.4,588
Fox Point - V 3,vap_aian,1,1.2,1.4,1.6,1.8,2
Fox Point - V 3,vap_asian,9,9.4,9.8,10.2,10.6,11
Fox Point - V 3,vap_black,1,1.2,1.4,1.6,1.8,2
Fox Point - V 3,vap_hisp,4,5,6,7,8,9
Fox Point - V 3,vap_nhpi,0,0,0,0,0,0
Fox Point - V 3,vap_other,0,0.6000000000000001,1.2000000000000002,1.7999999999999998,2.4000000000000004,3
Fox Point - V 3,vap_two,1,1,1,1,1,1
Fox Point - V 3,vap_white,604,595.2,586.4,577.6,568.8,560
Fox Point - V 4,vap,700,689.6,679.2,668.8,658.4,648
Fox Point - V 4,vap_aian,0,0,0,0,0,0
Fox Point - V 4,vap_asian,19,20.2,21.4,22.6,23.8,25
Fox Point - V 4,vap_black,25,32.2,39.4,46.599999999999994,53.8,61
Fox Point - V 4,vap_hisp,18,18.4,18.8,19.2,19.6,20
Fox Point - V 4,vap_nhpi,1,0.8,0.6,0.4,0.19999999999999996,0
Fox Point - V 4,vap_other,1,1.2,1.4,1.6,1.8,2
Fox Point - V 4,vap_two,4,5,6,7,8,9
Fox Point - V 4,vap_white,632,611.8,591.6,571.4,551.2,531
Fox Point - V 5,vap,606,603.2,600.4,597.6,594.8,592
Fox Point - V 5,vap_aian,0,0,0,0,0,0
Fox Point - V 5,vap_asian,6,9.2,12.4,15.6,18.8,22
Fox Point - V 5,vap_black,7,9.4,11.8,14.2,16.6,19
Fox Point - V 5,vap_hisp,3,5.4,7.800000000000001,10.2,12.600000000000001,15
Fox Point - V 5,vap_nhpi,0,0,0,0,0,0
Fox Point - V 5,vap_other,0,0,0,0,0,0
Fox Point - V 5,vap_two,0,0.8,1.6,2.4,3.2,4
Fox Point - V 5,vap_white,590,578.4,566.8,555.2,543.6,532
Fox Point - V 6,vap,408,405.8,403.6,401.4,399.2,397
Fox Point - V 6,vap_aian,1,1,1,1,1,1
Fox Point - V 6,vap_asian,3,4.4,5.800000000000001,7.2,8.600000000000001,10
Fox Point - V 6,vap_black,0,0.6000000000000001,1.2000000000000002,1.7999999999999998,2.4000000000000004,3
Fox Point - V 6,vap_hisp,4,4.8,5.6,6.4,7.2,8
Fox Point - V 6,vap_nhpi,0,0,0,0,0,0
Fox Point - V 6,vap_other,0,0,0,0,0,0
Fox Point - V 6,vap_two,10,8.8,7.6,6.4,5.199999999999999,4
Fox Point - V 6,vap_white,390,386.2,382.4,378.6,374.8,371
Fox Point - V 7,vap,553,552,551,550,549,548
Fox Point - V 7,vap_aian,0,0.2,0.4,0.6,0.8,1
Fox Point - V 7,vap_asian,8,9.2,10.4,11.6,12.8,14
Fox Point - V 7,vap_black,1,2.6,4.2,5.8,7.4,9
Fox Point - V 7,vap_hisp,2,3.8,5.6,7.3999999999999995,9.2,11
Fox Point - V 7,vap_nhpi,0,0,0,0,0,0
Fox Point - V 7,vap_other,0,0.6000000000000001,1.2000000000000002,1.7999999999999998,2.4000000000000004,3
Fox Point - V 7,vap_two,1,1,1,1,1,1
Fox Point - V 7,vap_white,541,534.6,528.2,521.8,515.4,509
Fox Point - V 8,vap,762,756,750,744,738,732
Fox Point - V 8,vap_aian,2,1.6,1.2,0.8,0.3999999999999999,0
Fox Point - V 8,vap_asian,20,28.6,37.2,45.8,54.4,63
Fox Point - V 8,vap_black,23,23.4,23.8,24.2,24.6,25
Fox Point - V 8,vap_hisp,5,8,11,14,17,20
Fox Point - V 8,vap_nhpi,0,0,0,0,0,0
Fox Point - V 8,vap_other,0,0.2,0.4,0.6,0.8,1
Fox Point - V 8,vap_two,2,2.4,2.8,3.2,3.6,4
Fox Point - V 8,vap_white,710,691.8,673.6,655.4,637.2,619
Fox Point - V 9,vap,624,624,624,624,624,624
Fox Point - V 9,vap_aian,1,1,1,1,1,1
Fox Point - V 9,vap_asian,25,24.4,23.8,23.2,22.6,22
Fox Point - V 9,vap_black,15,16.2,17.4,18.6,19.8,21
Fox Point - V 9,vap_hisp,11,11.4,11.8,12.2,12.6,13
Fox Point - V 9,vap_nhpi,0,0,0,0,0,0
Fox Point - V 9,vap_other,0,0,0,0,0,0
Fox Point - V 9,vap_two,0,1.8,3.6,5.3999999999999995,7.2,9
Fox Point - V 9,vap_white,572,569.2,566.4,563.6,560.8,558
Franklin - C 1,vap,1839,1826,1813,1800,1787,1774
Franklin - C 1,vap_aian,8,7,6,5,4,3
Franklin - C 1,vap_asian,6,6,6,6,6,6
Franklin - C 1,vap_black,1256,1247.6,1239.2,1230.8,1222.4,1214
Franklin - C 1,vap_hisp,27,43.400000000000006,59.800000000000004,76.19999999999999,92.60000000000001,109
Franklin - C 1,vap_nhpi,1,0.8,0.6,0.4,0.19999999999999996,0
Franklin - C 1,vap_other,0,0,0,0,0,0
Franklin - C 1,vap_two,0,1,2,3,4,5
Franklin - C 1,vap_white,541,520.2,499.4,478.6,457.8,437
Franklin - C 10,vap,838,885.2,932.4,979.6,1026.8,1074
Franklin - C 10,vap_aian,6,6.6,7.2,7.8,8.4,9
Franklin - C 10,vap_asian,39,50.4,61.8,73.19999999999999,84.6,96
Franklin - C 10,vap_black,20,25.4,30.8,36.2,41.6,47
Franklin - C 10,vap_hisp,29,39.6,50.2,60.8,71.4,82
Franklin - C 10,vap_nhpi,0,0,0,0,0,0
Franklin - C 10,vap_other,0,0,0,0,0,0
Franklin - C 10,vap_two,11,12.8,14.6,16.4,18.2,20
Franklin - C 10,vap_white,733,750.4,767.8,785.2,802.6,820
Franklin - C 11,vap,671,708.4,745.8,783.2,820.6,858
Franklin - C 11,vap_aian,2,2,2,2,2,2
Franklin - C 11,vap_asian,3,12.8,22.6,32.4,42.2,52
Franklin - C 11,vap_black,1,2.6,4.2,5.8,7.4,9
Franklin - C 11,vap_hisp,13,17.6,22.200000000000003,26.799999999999997,31.400000000000002,36
Franklin - C 11,vap_nhpi,0,0,0,0,0,0
Franklin - C 11,vap_other,0,0,0,0,0,0
Franklin - C 11,vap_two,3,3.4,3.8,4.2,4.6,5
Franklin - C 11,vap_white,649,670,691,712,733,754
Franklin - C 12,vap,842,838.4,834.8,831.2,827.6,824
Franklin - C 12,vap_aian,2,1.8,1.6,1.4,1.2,1
Franklin - C 12,vap_asian,55,56.2,57.4,58.6,59.8,61
Franklin - C 12,vap_black,8,7.2,6.4,5.6,4.8,4
Franklin - C 12,vap_hisp,34,34.6,35.2,35.8,36.4,37
Franklin - C 12,vap_nhpi,0,0,0,0,0,0
Franklin - C 12,vap_other,0,0,0,0,0,0
Franklin - C 12,vap_two,10,10.6,11.2,11.8,12.4,13
Franklin - C 12,vap_white,733,728,723,718,713,708
Franklin - C 13,vap,836,919.4,1002.8,1086.2,1169.6,1253
Franklin - C 13,vap_aian,2,2.2,2.4,2.6,2.8,3
Franklin - C 13,vap_asian,10,20.200000000000003,30.400000000000002,40.599999999999994,50.800000000000004,61
Franklin - C 13,vap_black,3,5.2,7.4,9.6,11.8,14
Franklin - C 13,vap_hisp,21,27.4,33.8,40.2,46.6,53
Franklin - C 13,vap_nhpi,0,0,0,0,0,0
Franklin - C 13,vap_other,0,0,0,0,0,0
Franklin - C 13,vap_two,1,3.6,6.2,8.8,11.4,14
Franklin - C 13,vap_white,799,860.8,922.6,984.4,1046.2,1108
Franklin - C 14,vap,902,888,874,860,846,832
Franklin - C 14,vap_aian,2,2,2,2,2,2
Franklin - C 14,vap_asian,29,31.2,33.4,35.6,37.8,40
Franklin - C 14,vap_black,8,9.2,10.4,11.6,12.8,14
Franklin - C 14,vap_hisp,36,35,34,33,32,31
Franklin - C 14,vap_nhpi,0,0,0,0,0,0
Franklin - C 14,vap_other,0,0,0,0,0,0
