BLOCKID|DISTRICT
550019502031035|024
550019502031036|024
550019502032000|024
550019502032001|024
550019502032002|024
550019502032003|024
550019502032004|024
550019502032005|024
550019502032006|024
550019502032007|024
550019502032008|024
550019502032009|024
550019502032010|024
550019502032011|024
550019502032012|024
550019502032013|024
550019502032014|024
550019502032015|024
550019502032016|024
550019502032017|024
550019502032018|024
550019502032019|024
550019502032020|024
550019502032021|024
550019502032022|024
550019502032023|024
550019502032024|024
550019502032025|024
550019502032026|024
550019502032027|024
550019502032028|024
550019502032029|024
550019502032030|024
550019502032031|024
550019502032032|024
550019502032033|024
550019502032034|024
550019502032035|024
550019502032036|024
550019502032037|024
550019502032038|024
550019502032039|024
550019502032040|024
550019502032041|024
550019502032042|024
550019502032043|024
550019502032044|024
550019502032045|024
550019502032046|024
550019502032047|024
550019502032048|024
550019502032049|024
550019502032050|024
550019502032051|024
550019502032052|024
550019502032053|024
550019502032054|024
550019502032055|024
550019502032056|024
550019502032057|024
550019502032058|024
550019502032059|024
550019502032060|024
550019502032061|024
550019502032062|024
550019502032063|024
550019502032064|024
550019502032065|024
550019502032066|024
550019502032067|024
550019502032068|024
550019502032069|024
550019502032070|024
550019502041000|024
550019502041001|024
550019502041002|024
550019502041003|024
550019502041004|024
550019502041005|024
550019502041006|024
550019502041007|024
550019502041008|024
550019502041009|024
550019502041010|024
550019502041011|024
550019502041012|024
550019502041013|024
550019502041014|024
550019502041015|024
550019502041016|024
550019502041017|024
550019502041018|024
550019502041019|024
550019502041020|024
550019502041021|024
550019502041022|024
550019502041023|024
550019502041024|024
550019502041025|024
550019502041026|024
550019502041027|024
550019502041028|024
550019502041029|024
550019502041030|024
550019502041031|024
550019502041032|024
550019502041033|024
550019502041034|024
550019502041035|024
550019502041036|024
550019502041037|024
550019502041038|024
550019502041039|024
550019502041040|024
550019502041041|024
550019502041042|024
550019502041043|024
550019502041044|024
550019502041045|024
550019502041046|024
550019502041047|024
550019502041048|024
550019502041049|024
550019502041050|024
550019502041051|024
550019502041052|024
550019502041053|024
550019502041054|024
550019502041055|024
550019502041056|024
550019502041057|024
550019502041058|024
550019502041059|024
550019502041060|024
550019502041061|024
550019502041062|024
550019502041063|024
550019502041064|024
550019502041065|024
550019502041066|024
550019502041067|024
550019502041068|024
550019502041069|024
550019502041070|024
550019502041071|024
550019502041072|024
550019502041073|024
550019502041074|024
550019502041075|024
550019502041076|024
550019502041077|024
550019502041078|024
550019502041079|024
550019502041080|024
550019502041081|024
550019502041082|024
550019502041083|024
550019502041084|024
550019502041085|024
550019502041086|024
550019502041087|024
550019502041088|024
550019502041089|024
550019502041090|024
550019502041091|024
550019502041092|024
550019502041093|024
550019502041094|024
550019502041095|024
550019502041096|024
550019502041097|024
550019502041098|024
550019502041099|024
550019502041100|024
550019502041101|024
550019502041102|024
550019502041103|024
550019502041104|024
550019502041105|024
550019502041106|024
550019502041107|024
550019502041108|024
550019502041109|024
550019502041110|024
550019502041111|024
550019502041112|024
550019502041113|024
550019502041114|024
550019502041115|024
550019502041116|024
550019502041117|024
550019502041118|024
550019502041119|024
550019502041120|024
550019502041121|024
550019502041122|024
550019502041123|024
550019502041124|024
550019502041125|024
550019502041126|024
550019502041127|024
550019502041128|024
550019502042000|024
550019502042001|024
550019502042002|024
550019502042003|024
550019502042004|024
550019502042005|024
550019502042006|024
550019502042007|024
550019502042008|024
550019502042009|024
550019502042010|024
550019502042011|024
550019502042012|024
550019502042013|024
550019502042014|024
550019502042015|024
550019502042016|024
550019502042017|024
550019502042018|024
550019502042019|024
550019502042020|024
550019502042021|024
550019502042022|024
550019502042023|024
550019502042024|024
550019502042025|024
550019502042026|024
550019502042027|024
550019502042028|024
550019502042029|024
550019502042030|024
550019502042031|024
550019502042032|024
550019502042033|024
550019502042034|024
550019502042035|024
550019502042036|024
550019502042037|024
550019502042038|024
550019502042039|024
550019502042040|024
550019502042041|024
550019502042042|024
550019502042043|024
550019502042044|024
550019502042045|024
550019502042046|024
550019502042047|024
550019502042048|024
550019502042049|024
550019502042050|024
550019502042051|024
550019502042052|024
550019502042053|024
550019502042054|024
550019502042055|024
550019502042056|024
550019502042057|024
550019502042058|024
550019502042059|024
550019502042060|024
550019502042061|024
550019502042062|024
550019502042063|024
550019502042064|024
550019502042065|024
550019502042066|024
550019502042067|024
550019502042068|024
550019502042069|024
550019502042070|024
550019502042071|024
550019502042072|024
550019502042073|024
550019502042074|024
550019502042075|024
550019502042076|024
550019502042077|024
550019502042078|024
550019502042079|024
550019502042080|024
550019502042081|024
550019502042082|024
550019502042083|024
550019502042084|024
550019502042085|024
550019502042086|024
550019502042087|024
550019502042088|024
550019504001000|014
550019504001001|014
550019504001002|014
550019504001003|014
550019504001004|014
550019504001005|014
550019504001006|024
550019504001007|014
550019504001008|014
550019504001009|014
550019504001010|014
550019504001011|014
550019504001012|014
550019504001013|014
550019504001014|014
550019504001015|014
550019504001016|014
550019504001017|014
550019504001018|014
550019504001019|014
550019504001020|014
550019504001021|014
550019504001022|014
550019504001023|014
550019504001024|014
550019504001025|014
550019504001026|014
550019504001027|014
550019504001028|014
550019504001029|014
550019504001030|014
550019504001031|014
550019504001032|014
550019504001033|014
550019504001034|014
550019504001035|014
550019504001036|014
550019504001037|014
550019504001038|014
550019504001039|014
550019504001040|014
550019504001041|014
550019504001042|014
550019504001043|014
550019504001044|014
550019504001045|014
550019504001046|014
550019504001047|014
550019504001048|014
550019504001049|014
550019504001050|014
550019504001051|014
550019504001052|014
550019504001053|014
550019504001054|014
550019504001055|014
550019504001056|014
550019504001057|014
550019504001058|014
550019504001059|014
550019504001060|014
550019504001061|014
550019504001062|014
550019504001063|024
550019504002000|014
550019504002001|014
550019504002002|014
550019504002003|014
550019504002004|014
550019504002005|014
550019504002006|014
550019504002007|014
550019504002008|014
550019504002009|014
550019504002010|014
550019504002011|014
550019504002012|014
550019504002013|014
550019504002014|014
550019504002015|014
550019504002016|014
550019504002017|014
550019504002018|014
550019504002019|014
550019504002020|014
550019504002021|014
550019504002022|014
550019504002023|014
550019504002024|014
550019504002025|014
550019504002026|014
550019504002027|014
550019504002028|014
550019504002029|024
550019504002030|024
550019504002031|024
550019504002032|014
550019504002033|014
550019504002034|014
550019504002035|024
550019504002036|014
550019504002037|014
550019504002038|014
550019504002039|014
550019504002040|014
550019504002041|014
550019504002042|014
550019504002043|014
550019504002044|014
550019504002045|014
550019504002046|014
550019504002047|014
550019504002048|014
550019504002049|014
550019504002050|014
550019504002051|014
550019504002052|014
550019504002053|014
550019504002054|014
550019504002055|014
550019504002056|014
550019504002057|014
550019504002058|014
550019504002059|014
550019504002060|014
550019504002061|014
550019504002062|014
550019504002063|014
550019504002064|014
550019504002065|014
550019504002066|014
550019504002067|014
550019504002068|014
550019504002069|014
550019504002070|014
550019504002071|014
550019504002072|014
550019504002073|014
550019504002074|014
550019504002075|014
550019504002076|014
550019504002077|014
550019504002078|014
550019504003000|014
550019504003001|014
550019504003002|014
550019504003003|014
550019504003004|014
550019504003005|014
550019504003006|014
550019504003007|014
550019504003008|014
550019504003009|014
550019504003010|014
550019504003011|014
550019504003012|014
550019504003013|014
550019504003014|014
550019504003015|014
550019504003016|014
550019504003017|014
550019504003018|014
550019504003019|014
550019504003020|014
550019504003021|014
550019504003022|014
550019504003023|014
550019504003024|014
550019504003025|014
550019504003026|014
550019504003027|014
550019504003028|014
550019504003029|014
550019504003030|014
550019504003031|014
550019504003032|014
550019504003033|014
550019504003034|014
550019504003035|014
550019504003036|014
550019504003037|014
550019504003038|014
550019504003039|014
550019504003040|014
550019504003041|014
550019504003042|014
550019504003043|014
550019504003044|014
550019504003045|014
550019504003046|014
550019504003047|014
550019504003048|014
550019504003049|014
550019504003050|014
550019504003051|014
550019504003052|014
550019504003053|014
550019504003054|014
550019504003055|014
550019504003056|014
550019504003057|014
550019504003058|014
550019504003059|014
550019504003060|014
550019504003061|014
550019504003062|014
550019504003063|014
550019504003064|014
550019504004000|024
550019504004001|024
550019504004002|024
550019504004003|024
550019504004004|024
550019504004005|024
550019504004006|024
550019504004007|024
550019504004008|024
550019504004009|024
550019504004010|024
550019504004011|024
550019504004012|014
550019504004013|014
550019504004014|014
550019504004015|014
550019504004016|014
550019504004017|024
550019504004018|024
550019504004019|024
550019504004020|024
550019504004021|024
550019504004022|014
550019504004023|014
550019504004024|014
550019504004025|014
550019504004026|014
550019504004027|014
550019504004028|014
550019504004029|014
550019504004030|014
550019504004031|014
550019504004032|014
550019504004033|014
550019504004034|014
550019504004035|014
550019504004036|014
550019504004037|024
550019504004038|024
550019504004039|014
550019504004040|014
550019504004041|014
550019504004042|014
550019504004043|014
550019504004044|014
550019504004045|014
550019504004046|014
550019504004047|014
550019504004048|014
550019504004049|014
550019504004050|014
550019504004051|014
550019504004052|014
550019504004053|014
550019504004054|014
550019504004055|014
550019504004056|014
550019504004057|014
550019504004058|014
550019504004059|014
550019504004060|014
550019504004061|014
550019504004062|014
550019504004063|014
550019504004064|014
550019504004065|014
550019504004066|014
550019504004067|014
550019504004068|014
550019504004069|014
550019504004070|014
550019504004071|014
550019504004072|014
550019504004073|014
550019504004074|014
550019504004075|014
550019504004076|014
550019504004077|014
550019504004078|014
550019504004079|014
550019504004080|014
550019504004081|014
550019504004082|014
550019504004083|014
550019504004084|014
550019504004085|014
550019504004086|014
550019504004087|014
550019504004088|014
550019504004089|014
550019504004090|014
550019504004091|014
550019504004092|014
550019504004093|014
550019504004094|014
550019504004095|014
550019504004096|014
550019504004097|014
550019504004098|014
550019504004099|014
550019504004100|024
550019504004101|024
550019504004102|024
550019505011000|014
550019505011001|014
550019505011002|014
550019505011003|014
550019505011004|014
550019505011005|014
550019505011006|014
550019505011007|014
550019505011008|014
550019505011009|014
550019505011010|014
550019505011011|014
550019505011012|014
550019505011013|014
550019505011014|014
550019505011015|014
550019505011016|014
550019505011017|014
550019505011018|014
550019505011019|014
550019505011020|014
550019505011021|014
550019505011022|014
550019505011023|014
550019505011024|014
550019505011025|014
550019505011026|014
550019505011027|014
550019505011028|014
550019505011029|014
550019505011030|014
550019505011031|014
550019505011032|014
550019505011033|014
550019505011034|014
550019505011035|014
550019505011036|014
550019505011037|014
550019505011038|014
550019505011039|014
550019505011040|014
550019505011041|014
550019505011042|014
550019505011043|014
550019505011044|014
550019505011045|014
550019505011046|014
550019505011047|014
550019505011048|014
550019505011049|014
550019505011050|014
550019505011051|014
550019505011052|014
550019505011053|014
550019505011054|014
550019505011055|014
550019505011056|014
550019505011057|014
550019505011058|014
550019505011059|014
550019505011060|014
550019505011061|014
550019505011062|014
550019505011063|014
550019505011064|014
550019505011065|014
550019505011066|014
550019505011067|014
550019505011068|014
550019505011069|014
550019505011070|014
550019505011071|014
550019505011072|014
550019505011073|014
550019505011074|014
550019505011075|014
550019505011076|014
550019505011077|014
550019505011078|014
550019505011079|014
550019505011080|014
550019505011081|014
550019505011082|014
550019505011083|014
550019505011084|014
550019505011085|014
550019505011086|014
550019505011087|014
550019505011088|014
550019505011089|014
550019505011090|014
550019505011091|014
550019505011092|014
550019505011093|014
550019505011094|014
550019505011095|014
550019505011096|014
550019505011097|014
550019505011098|014
550019505011099|014
550019505011100|014
550019505011101|014
550019505012000|014
550019505012001|014
550019505012002|014
550019505012003|014
550019505012004|014
550019505012005|014
550019505012006|014
550019505012007|014
550019505012008|014
550019505012009|014
550019505012010|014
550019505012011|014
550019505012012|014
550019505012013|014
550019505012014|014
550019505012015|014
550019505012016|014
550019505012017|014
550019505012018|014
550019505012019|014
550019505012020|014
550019505012021|014
550019505012022|014
550019505012023|014
550019505012024|014
550019505012025|014
550019505012026|014
550019505012027|014
550019505012028|014
550019505012029|014
550019505012030|014
550019505012031|014
550019505012032|014
550019505012033|014
550019505012034|014
550019505012035|014
550019505012036|014
550019505012037|014
550019505012038|014
550019505012039|014
550019505012040|014
550019505012041|014
550019505012042|014
550019505012043|014
550019505012044|014
550019505012045|014
550019505012046|014
550019505012047|014
550019505012048|014
550019505012049|014
550019505012050|014
550019505012051|014
550019505012052|014
550019505012053|014
550019505012054|014
550019505012055|014
550019505012056|014
550019505012057|014
550019505012058|014
550019505012059|014
550019505012060|014
550019505012061|014
550019505012062|014
550019505012063|014
550019505012064|014
550019505012065|014
550019505012066|014
550019505012067|014
550019505012068|014
550019505012069|014
550019505012070|014
550019505012071|014
550019505012072|014
550019505012073|014
550019505012074|014
550019505012075|014
550019505012076|014
550019505012077|014
550019505012078|014
550019505012079|014
550019505012080|014
550019505012081|014
550019505012082|014
550019505012083|014
550019505012084|014
550019505012085|014
550019505012086|014
550019505012087|014
550019505012088|014
550019505012089|014
550019505012090|014
550019505012091|014
550019505012092|014
550019505012093|014
550019505012094|014
550019505012095|014
550019505012096|014
550019505012097|014
550019505012098|014
550019505012099|014
550019505012100|014
550019505012101|014
550019505012102|014
550019505012103|014
550019505012104|014
550019505012105|014
550019505012106|014
550019505012107|014
550019505012108|014
550019505012109|014
550019505012110|014
550019505012111|014
550019505012112|014
550019505012113|014
550019505012114|014
550019505012115|014
550019505012116|014
550019505012117|014
550019505012118|014
550019505012119|014
550019505012120|014
550019505021000|014
550019505021001|014
550019505021002|014
550019505021003|014
550019505021004|014
550019505021005|014
550019505021006|014
550019505021007|014
550019505021008|014
550019505021009|014
550019505021010|014
550019505021011|014
550019505021012|014
550019505021013|014
550019505021014|014
550019505021015|014
550019505021016|014
550019505021017|014
550019505021018|014
550019505021019|014
550019505021020|014
550019505021021|014
550019505021022|014
550019505021023|014
550019505021024|014
550019505021025|014
550019505021026|014
550019505021027|014
550019505021028|014
550019505021029|014
550019505021030|014
550019505021031|014
550019505021032|014
550019505021033|014
550019505021034|014
550019505021035|014
550019505021036|014
550019505021037|014
550019505021038|014
550019505021039|014
550019505021040|014
550019505021041|014
550019505021042|014
550019505021043|014
550019505021044|014
550019505021045|014
550019505021046|014
550019505021047|014
550019505021048|014
550019505021049|014
550019505021050|014
550019505021051|014
550019505021052|014
550019505021053|014
550019505021054|014
550019505021055|014
550019505021056|014
550019505021057|014
550019505021058|014
550019505021059|014
550019505021060|014
550019505021061|014
550019505022000|014
550019505022001|014
550019505022002|014
550019505022003|014
550019505022004|014
550019505022005|014
550019505022006|014
550019505022007|014
550019505022008|014
550019505022009|014
550019505022010|014
550019505022011|014
550019505022012|014
550019505022013|014
550019505022014|014
550019505022015|014
550019505022016|014
550019505022017|014
550019505022018|014
550019505022019|014
550019505022020|014
550019505022021|014
550019505022022|014
550019505022023|014
550019505022024|014
550019505022025|014
550019505022026|014
550019505022027|014
550019505022028|014
550019505022029|014
550019505022030|014
550019505022031|014
550019505022032|014
550019505022033|014
550019505022034|014
550019505022035|014
550019505022036|014
550019505022037|014
550019505022038|014
550019505022039|014
550019505022040|014
550019505022041|014
550019505022042|014
550019505022043|014
550019505022044|014
550019505022045|014
550019505022046|014
550019505022047|014
550019505022048|014
550019505022049|014
550019505022050|014
550019505022051|014
550019505022052|014
550019505022053|014
550019505022054|014
550019505022055|014
550019505022056|014
550019505022057|014
550019505022058|014
550019505022059|014
550019505022060|014
550019505022061|014
550019505022062|014
550019505022063|014
550019505022064|014
550019505022065|014
550019505022066|014
550019505022067|014
550019505022068|014
550019505022069|014
550019505022070|014
550019505022071|014
550019505022072|014
550019505022073|014
550019505022074|014
550019505022075|014
550019505022076|014
550019505022077|014
550019505022078|014
550019505022079|014
550019505022080|014
550019505022081|014
550019505023000|014
550019505023001|014
550019505023002|014
550019505023003|014
550019505023004|014
550019505023005|014
550019505023006|014
550019505023007|014
550019505023008|014
550019505023009|014
550019505023010|014
550019505023011|014
550019505023012|014
550019505023013|014
550019505023014|014
550019505023015|014
550019505023016|014
550019505023017|014
550019505023018|014
550019505023019|014
550019505023020|014
550019505023021|014
550019505023022|014
550019505023023|014
550019505023024|014
550019505023025|014
550019505023026|014
550019505023027|014
550019505023028|014
550019505023029|014
550019505023030|014
550019505023031|014
550019505023032|014
550019505023033|014
550019505023034|014
550019505023035|014
550019505023036|014
550019505023037|014
550019505023038|014
550019505023039|014
550019505023040|014
550019505023041|014
550019505023042|014
550019505023043|014
550019505023044|014
550019505023045|014
550019505023046|014
550019505023047|014
550019505024000|014
550019505024001|014
550019505024002|014
550019505024003|014
550019505024004|014
550019505024005|014
550019505024006|014
550019505024007|014
550019505024008|014
550019505024009|014
550019505024010|014
550019505024011|014
550019505024012|014
550019505024013|014
550019505024014|014
550019505024015|014
550019505024016|014
550019505024017|014
550019505024018|014
550019505024019|014
550019505024020|014
550019505024021|014
550019505024022|014
550019505024023|014
550019505024024|014
550019505024025|014
550019505024026|014
550019505024027|014
550019505024028|014
550019505024029|014
550019505024030|014
550019505024031|014
550019505024032|014
550019505024033|014
550019505024034|014
550019505024035|014
550019505024036|014
550019505024037|014
550019505024038|014
550019505024039|014
550019505024040|014
550019505024041|014
550019505024042|014
550019505024043|014
550019505024044|014
550019505024045|014
550019505024046|014
550019505024047|014
550019505024048|014
550019505024049|014
550019505024050|014
550019505024051|014
550019505024052|014
550019505024053|014
550019505024054|014
550019505024055|014
550019505024056|014
550019505024057|014
550019505024058|014
550019505024059|014
550019505024060|014
550019507001000|014
550019507001001|014
550019507001002|014
550019507001003|014
550019507001004|014
550019507001005|014
550019507001006|014
550019507001007|014
550019507001008|014
550019507001009|014
550019507001010|014
550019507001011|014
550019507001012|014
550019507001013|014
550019507001014|014
550019507001015|014
550019507001016|014
550019507001017|014
550019507001018|014
550019507001019|014
550019507001020|014
550019507001021|014
550019507001022|014
550019507001023|014
550019507001024|014
550019507001025|014
550019507001026|014
550019507001027|014
550019507001028|014
550019507001029|014
550019507001030|014
550019507001031|014
550019507001032|014
550019507001033|014
550019507001034|014
550019507001035|014
550019507001036|014
550019507001037|014
550019507001038|014
550019507001039|014
550019507001040|014
550019507001041|014
550019507001042|014
550019507001043|014
550019507001044|014
550019507001045|014
550019507001046|014
550019507001047|014
550019507001048|014
550019507001049|014
550019507001050|014
550019507001051|014
550019507001052|014
550019507001053|014
550019507001054|014
550019507001055|014
550019507001056|014
550019507001057|014
550019507001058|014
