BLOCKID|PLACEFP
550019502032030|
550019502032031|
550019502032032|
550019502032033|
550019502032034|
550019502032035|
550019502032036|
550019502032037|
550019502032038|
550019502032039|
550019502032040|
550019502032041|
550019502032042|
550019502032043|
550019502032044|
550019502032045|
550019502032046|
550019502032047|
550019502032048|
550019502032049|
550019502032050|
550019502032051|
550019502032052|
550019502032053|
550019502032054|
550019502032055|
550019502032056|
550019502032057|
550019502032058|
550019502032059|
550019502032060|
550019502032061|
550019502032062|
550019502032063|
550019502032064|
550019502032065|
550019502032066|
550019502032067|
550019502032068|
550019502032069|
550019502032070|
550019502041000|
550019502041001|
550019502041002|
550019502041003|
550019502041004|
550019502041005|
550019502041006|
550019502041007|
550019502041008|
550019502041009|
550019502041010|
550019502041011|
550019502041012|
550019502041013|
550019502041014|
550019502041015|
550019502041016|
550019502041017|
550019502041018|
550019502041019|
550019502041020|
550019502041021|
550019502041022|
550019502041023|
550019502041024|
550019502041025|
550019502041026|
550019502041027|
550019502041028|
550019502041029|
550019502041030|
550019502041031|
550019502041032|
550019502041033|
550019502041034|
550019502041035|
550019502041036|
550019502041037|
550019502041038|
550019502041039|
550019502041040|
550019502041041|
550019502041042|
550019502041043|
550019502041044|
550019502041045|
550019502041046|
550019502041047|
550019502041048|
550019502041049|
550019502041050|
550019502041051|
550019502041052|
550019502041053|
550019502041054|
550019502041055|
550019502041056|
550019502041057|
550019502041058|
550019502041059|
550019502041060|
550019502041061|
550019502041062|
550019502041063|
550019502041064|
550019502041065|02725
550019502041066|
550019502041067|
550019502041068|
550019502041069|
550019502041070|
550019502041071|
550019502041072|
550019502041073|
550019502041074|
550019502041075|
550019502041076|
550019502041077|
550019502041078|
550019502041079|
550019502041080|
550019502041081|
550019502041082|
550019502041083|
550019502041084|02725
550019502041085|02725
550019502041086|02725
550019502041087|02725
550019502041088|02725
550019502041089|02725
550019502041090|02725
550019502041091|
550019502041092|
550019502041093|
550019502041094|
550019502041095|
550019502041096|
550019502041097|02725
550019502041098|
550019502041099|
550019502041100|
550019502041101|
550019502041102|
550019502041103|
550019502041104|
550019502041105|
550019502041106|
550019502041107|
550019502041108|
550019502041109|
550019502041110|
550019502041111|
550019502041112|
550019502041113|
550019502041114|
550019502041115|
550019502041116|
550019502041117|
550019502041118|
550019502041119|
550019502041120|
550019502041121|
550019502041122|
550019502041123|
550019502041124|
550019502041125|
550019502041126|
550019502041127|
550019502041128|
550019502042000|
550019502042001|
550019502042002|
550019502042003|
550019502042004|
550019502042005|
550019502042006|
550019502042007|
550019502042008|
550019502042009|
550019502042010|
550019502042011|
550019502042012|
550019502042013|
550019502042014|
550019502042015|
550019502042016|
550019502042017|
550019502042018|
550019502042019|
550019502042020|
550019502042021|
550019502042022|
550019502042023|
550019502042024|
550019502042025|
550019502042026|
550019502042027|
550019502042028|
550019502042029|
550019502042030|
550019502042031|
550019502042032|
550019502042033|
550019502042034|
550019502042035|
550019502042036|
550019502042037|
550019502042038|
550019502042039|
550019502042040|
550019502042041|
550019502042042|
550019502042043|
550019502042044|
550019502042045|
550019502042046|
550019502042047|
550019502042048|
550019502042049|
550019502042050|
550019502042051|
550019502042052|
550019502042053|
550019502042054|
550019502042055|
550019502042056|
550019502042057|
550019502042058|
550019502042059|
550019502042060|
550019502042061|
550019502042062|
550019502042063|
550019502042064|
550019502042065|
550019502042066|
550019502042067|
550019502042068|
550019502042069|
550019502042070|
550019502042071|
550019502042072|
550019502042073|
550019502042074|
550019502042075|
550019502042076|
550019502042077|
550019502042078|
550019502042079|
550019502042080|
550019502042081|
550019502042082|
550019502042083|
550019502042084|
550019502042085|
550019502042086|
550019502042087|
550019502042088|
550019504001000|
550019504001001|
550019504001002|
550019504001003|
550019504001004|
550019504001005|
550019504001006|
550019504001007|
550019504001008|
550019504001009|
550019504001010|
550019504001011|
550019504001012|
550019504001013|
550019504001014|
550019504001015|
550019504001016|
550019504001017|
550019504001018|
550019504001019|
550019504001020|
550019504001021|
550019504001022|
550019504001023|
550019504001024|
550019504001025|
550019504001026|
550019504001027|
550019504001028|
550019504001029|
550019504001030|
550019504001031|
550019504001032|
550019504001033|
550019504001034|
550019504001035|
550019504001036|
550019504001037|
550019504001038|
550019504001039|
550019504001040|
550019504001041|
550019504001042|
550019504001043|
550019504001044|
550019504001045|
550019504001046|
550019504001047|
550019504001048|
550019504001049|
550019504001050|
550019504001051|
550019504001052|
550019504001053|
550019504001054|
550019504001055|
550019504001056|
550019504001057|
550019504001058|
550019504001059|
550019504001060|
550019504001061|
550019504001062|
550019504001063|
550019504002000|
550019504002001|
550019504002002|
550019504002003|
550019504002004|
550019504002005|
550019504002006|
550019504002007|
550019504002008|
550019504002009|
550019504002010|
550019504002011|
550019504002012|
550019504002013|
550019504002014|
550019504002015|
550019504002016|
550019504002017|
550019504002018|
550019504002019|00275
550019504002020|
550019504002021|
550019504002022|
550019504002023|
550019504002024|
550019504002025|
550019504002026|
550019504002027|
550019504002028|
550019504002029|
550019504002030|
550019504002031|
550019504002032|19600
550019504002033|19600
550019504002034|19600
550019504002035|
550019504002036|
550019504002037|
550019504002038|
550019504002039|
550019504002040|
550019504002041|
550019504002042|
550019504002043|
550019504002044|
550019504002045|
550019504002046|
550019504002047|
550019504002048|
550019504002049|
550019504002050|00275
550019504002051|00275
550019504002052|00275
550019504002053|00275
550019504002054|00275
550019504002055|00275
550019504002056|00275
550019504002057|00275
550019504002058|00275
550019504002059|00275
550019504002060|
550019504002061|
550019504002062|
550019504002063|
550019504002064|
550019504002065|
550019504002066|
550019504002067|
550019504002068|
550019504002069|
550019504002070|
550019504002071|00275
550019504002072|00275
550019504002073|00275
550019504002074|00275
550019504002075|00275
550019504002076|00275
550019504002077|00275
550019504002078|00275
550019504003000|00275
550019504003001|00275
550019504003002|00275
550019504003003|00275
550019504003004|00275
550019504003005|00275
550019504003006|00275
550019504003007|00275
550019504003008|00275
550019504003009|00275
550019504003010|00275
550019504003011|00275
550019504003012|00275
550019504003013|00275
550019504003014|00275
550019504003015|00275
550019504003016|00275
550019504003017|00275
550019504003018|00275
550019504003019|00275
550019504003020|00275
550019504003021|00275
550019504003022|00275
550019504003023|00275
550019504003024|00275
550019504003025|00275
550019504003026|00275
550019504003027|00275
550019504003028|00275
550019504003029|00275
550019504003030|00275
550019504003031|00275
550019504003032|00275
550019504003033|00275
550019504003034|00275
550019504003035|00275
550019504003036|00275
550019504003037|00275
550019504003038|00275
550019504003039|00275
550019504003040|00275
550019504003041|00275
550019504003042|00275
550019504003043|00275
550019504003044|00275
550019504003045|00275
550019504003046|00275
550019504003047|00275
550019504003048|00275
550019504003049|00275
550019504003050|00275
550019504003051|00275
550019504003052|00275
550019504003053|00275
550019504003054|00275
550019504003055|00275
550019504003056|00275
550019504003057|00275
550019504003058|00275
550019504003059|
550019504003060|00275
550019504003061|00275
550019504003062|00275
550019504003063|
550019504003064|
550019504004000|
550019504004001|
550019504004002|
550019504004003|
550019504004004|
550019504004005|
550019504004006|
550019504004007|
550019504004008|
550019504004009|
550019504004010|
550019504004011|
550019504004012|
550019504004013|
550019504004014|
550019504004015|
550019504004016|
550019504004017|
550019504004018|
550019504004019|
550019504004020|
550019504004021|
550019504004022|
550019504004023|
550019504004024|
550019504004025|27950
550019504004026|27950
550019504004027|27950
550019504004028|27950
550019504004029|
550019504004030|
550019504004031|27950
550019504004032|27950
550019504004033|27950
550019504004034|27950
550019504004035|27950
550019504004036|
550019504004037|
550019504004038|
550019504004039|27950
550019504004040|27950
550019504004041|
550019504004042|27950
550019504004043|27950
550019504004044|
550019504004045|
550019504004046|00275
550019504004047|00275
550019504004048|27950
550019504004049|27950
550019504004050|27950
550019504004051|27950
550019504004052|27950
550019504004053|27950
550019504004054|27950
550019504004055|27950
550019504004056|00275
550019504004057|00275
550019504004058|00275
550019504004059|00275
550019504004060|00275
550019504004061|00275
550019504004062|00275
550019504004063|00275
550019504004064|00275
550019504004065|00275
550019504004066|00275
550019504004067|00275
550019504004068|27950
550019504004069|27950
550019504004070|27950
550019504004071|27950
550019504004072|27950
550019504004073|27950
550019504004074|27950
550019504004075|27950
550019504004076|27950
550019504004077|27950
550019504004078|27950
550019504004079|27950
550019504004080|27950
550019504004081|27950
550019504004082|27950
550019504004083|27950
550019504004084|27950
550019504004085|27950
550019504004086|27950
550019504004087|27950
550019504004088|27950
550019504004089|27950
550019504004090|27950
550019504004091|00275
550019504004092|00275
550019504004093|00275
550019504004094|00275
550019504004095|00275
550019504004096|00275
550019504004097|00275
550019504004098|27950
550019504004099|27950
550019504004100|
550019504004101|
550019504004102|
550019505011000|
550019505011001|
550019505011002|
550019505011003|
550019505011004|
550019505011005|
550019505011006|
550019505011007|
550019505011008|
550019505011009|
550019505011010|
550019505011011|
550019505011012|
550019505011013|
550019505011014|
550019505011015|
550019505011016|
550019505011017|
550019505011018|
550019505011019|
550019505011020|
550019505011021|
550019505011022|
550019505011023|
550019505011024|
550019505011025|
550019505011026|
550019505011027|
