block_2020,COUNTYFP,vtd_2020,vtd_name_2020,pop_2020
550790001011000,079,003774,Milwaukee - C 0003,335
550790001011001,079,003774,Milwaukee - C 0003,92
550790001011002,079,003764,Milwaukee - C 0004,0
550790001011003,079,003764,Milwaukee - C 0004,0
550790001011004,079,003774,Milwaukee - C 0003,671
550790001011005,079,003774,Milwaukee - C 0003,150
550790001012000,079,003774,Milwaukee - C 0003,0
550790001012001,079,003774,Milwaukee - C 0003,0
550790001012002,079,003774,Milwaukee - C 0003,50
550790001012003,079,003774,Milwaukee - C 0003,193
550790001012004,079,003774,Milwaukee - C 0003,209
550790001012005,079,003774,Milwaukee - C 0003,64
550790001012006,079,003774,Milwaukee - C 0003,387
550790001012007,079,003774,Milwaukee - C 0003,0
550790001012008,079,003774,Milwaukee - C 0003,0
550790001012009,079,003774,Milwaukee - C 0003,0
550790001012010,079,003774,Milwaukee - C 0003,0
550790001012011,079,003774,Milwaukee - C 0003,0
550790001013000,079,003764,Milwaukee - C 0004,985
550790001013001,079,003764,Milwaukee - C 0004,1399
550790001013002,079,003764,Milwaukee - C 0004,0
550790001013003,079,003764,Milwaukee - C 0004,0
550790001013004,079,003764,Milwaukee - C 0004,0
550790001013005,079,003764,Milwaukee - C 0004,0
550790001021000,079,003710,Milwaukee - C 0005,487
550790001021001,079,003710,Milwaukee - C 0005,178
550790001021002,079,003710,Milwaukee - C 0005,524
550790001022000,079,003710,Milwaukee - C 0005,0
550790001022001,079,003710,Milwaukee - C 0005,0
550790001022002,079,003710,Milwaukee - C 0005,0
550790001022003,079,003710,Milwaukee - C 0005,0
550790001022004,079,003710,Milwaukee - C 0005,0
550790001022005,079,003764,Milwaukee - C 0004,0
550790001022006,079,003764,Milwaukee - C 0004,0
550790001022007,079,003764,Milwaukee - C 0004,0
550790001022008,079,003710,Milwaukee - C 0005,25
550790001022009,079,003710,Milwaukee - C 0005,0
550790001022010,079,003710,Milwaukee - C 0005,0
550790001022011,079,003710,Milwaukee - C 0005,20
550790001022012,079,003710,Milwaukee - C 0005,480
550790001022013,079,003710,Milwaukee - C 0005,0
550790001022014,079,003710,Milwaukee - C 0005,0
550790001022015,079,003710,Milwaukee - C 0005,0
550790001022016,079,003705,Milwaukee - C 0009,0
550790001022017,079,003705,Milwaukee - C 0009,45
550790001022018,079,003705,Milwaukee - C 0009,342
550790001022019,079,003710,Milwaukee - C 0005,20
550790001022020,079,003705,Milwaukee - C 0009,51
550790001022021,079,003705,Milwaukee - C 0009,65
550790001022022,079,003705,Milwaukee - C 0009,54
550790001022023,079,003705,Milwaukee - C 0009,60
550790001022024,079,003705,Milwaukee - C 0009,30
550790001022025,079,003705,Milwaukee - C 0009,49
550790001022026,079,003705,Milwaukee - C 0009,54
550790001022027,079,003705,Milwaukee - C 0009,29
550790001022028,079,003705,Milwaukee - C 0009,171
550790001022029,079,003705,Milwaukee - C 0009,0
550790001023000,079,003764,Milwaukee - C 0004,305
550790001023001,079,003764,Milwaukee - C 0004,619
550790001023002,079,003764,Milwaukee - C 0004,90
550790001023003,079,003764,Milwaukee - C 0004,0
550790001023004,079,003764,Milwaukee - C 0004,0
550790001023005,079,003764,Milwaukee - C 0004,0
550790001023006,079,003764,Milwaukee - C 0004,13
550790001023007,079,003764,Milwaukee - C 0004,0
550790002011000,079,003707,Milwaukee - C 0001,0
550790002011001,079,003707,Milwaukee - C 0001,13
550790002011002,079,003707,Milwaukee - C 0001,0
550790002011003,079,003707,Milwaukee - C 0001,0
550790002011004,079,003707,Milwaukee - C 0001,82
550790002011005,079,003707,Milwaukee - C 0001,1125
550790002011006,079,003707,Milwaukee - C 0001,19
550790002011007,079,003707,Milwaukee - C 0001,0
550790002011008,079,003707,Milwaukee - C 0001,0
550790002011009,079,003707,Milwaukee - C 0001,0
550790002011010,079,003707,Milwaukee - C 0001,179
550790002012000,079,003706,Milwaukee - C 0002,1638
550790002012001,079,003706,Milwaukee - C 0002,0
550790002013000,079,003707,Milwaukee - C 0001,588
550790002013001,079,003707,Milwaukee - C 0001,114
550790002013002,079,003707,Milwaukee - C 0001,257
