block_2020,pop_2020,ward_2011,ward_2022
550790001011000,335,Milwaukee - C 3,Milwaukee - C 0003
550790001011001,92,Milwaukee - C 3,Milwaukee - C 0003
550790001011002,0,Milwaukee - C 4,Milwaukee - C 0003
550790001011003,0,Milwaukee - C 4,Milwaukee - C 0004
550790001011004,671,Milwaukee - C 3,Milwaukee - C 0003
550790001011005,150,Milwaukee - C 3,Milwaukee - C 0003
550790001012000,0,Milwaukee - C 3,Milwaukee - C 0003
550790001012001,0,Milwaukee - C 3,Milwaukee - C 0003
550790001012002,50,Milwaukee - C 3,Milwaukee - C 0003
550790001012003,193,Milwaukee - C 3,Milwaukee - C 0003
550790001012004,209,Milwaukee - C 3,Milwaukee - C 0003
550790001012005,64,Milwaukee - C 3,Milwaukee - C 0003
550790001012006,387,Milwaukee - C 3,Milwaukee - C 0003
550790001012007,0,Milwaukee - C 3,Milwaukee - C 0005
550790001012008,0,Milwaukee - C 3,Milwaukee - C 0005
550790001012009,0,Milwaukee - C 3,Milwaukee - C 0003
550790001012010,0,Milwaukee - C 3,Milwaukee - C 0005
550790001012011,0,Milwaukee - C 3,Milwaukee - C 0003
550790001013000,985,Milwaukee - C 4,Milwaukee - C 0004
550790001013001,1399,Milwaukee - C 4,Milwaukee - C 0004
550790001013002,0,Milwaukee - C 4,Milwaukee - C 0003
550790001013003,0,Milwaukee - C 4,Milwaukee - C 0004
550790001013004,0,Milwaukee - C 4,Milwaukee - C 0004
550790001013005,0,Milwaukee - C 4,Milwaukee - C 0004
550790001021000,487,Milwaukee - C 5,Milwaukee - C 0005
550790001021001,178,Milwaukee - C 5,Milwaukee - C 0005
550790001021002,524,Milwaukee - C 5,Milwaukee - C 0005
550790001022000,0,Milwaukee - C 5,Milwaukee - C 0005
550790001022001,0,Milwaukee - C 5,Milwaukee - C 0005
550790001022002,0,Milwaukee - C 5,Milwaukee - C 0005
550790001022003,0,Milwaukee - C 5,Milwaukee - C 0005
550790001022004,0,Milwaukee - C 5,Milwaukee - C 0005
550790001022005,0,Milwaukee - C 4,Milwaukee - C 0005
550790001022006,0,Milwaukee - C 4,Milwaukee - C 0004
550790001022007,0,Milwaukee - C 4,Milwaukee - C 0005
550790001022008,25,Milwaukee - C 5,Milwaukee - C 0005
550790001022009,0,Milwaukee - C 5,Milwaukee - C 0005
550790001022010,0,Milwaukee - C 5,Milwaukee - C 0005
550790001022011,20,Milwaukee - C 5,Milwaukee - C 0005
550790001022012,480,Milwaukee - C 5,Milwaukee - C 0005
550790001022013,0,Milwaukee - C 5,Milwaukee - C 0005
550790001022014,0,Milwaukee - C 5,Milwaukee - C 0005
550790001022015,0,Milwaukee - C 5,Milwaukee - C 0005
550790001022016,0,Milwaukee - C 9,Milwaukee - C 0009
550790001022017,45,Milwaukee - C 9,Milwaukee - C 0009
550790001022018,342,Milwaukee - C 9,Milwaukee - C 0009
550790001022019,20,Milwaukee - C 5,Milwaukee - C 0005
550790001022020,51,Milwaukee - C 9,Milwaukee - C 0009
550790001022021,65,Milwaukee - C 9,Milwaukee - C 0009
550790001022022,54,Milwaukee - C 9,Milwaukee - C 0009
550790001022023,60,Milwaukee - C 9,Milwaukee - C 0009
550790001022024,30,Milwaukee - C 9,Milwaukee - C 0009
550790001022025,49,Milwaukee - C 9,Milwaukee - C 0009
550790001022026,54,Milwaukee - C 9,Milwaukee - C 0009
550790001022027,29,Milwaukee - C 9,Milwaukee - C 0009
550790001022028,171,Milwaukee - C 9,Milwaukee - C 0009
550790001022029,0,Milwaukee - C 9,Milwaukee - C 0013
550790001023000,305,Milwaukee - C 4,Milwaukee - C 0004
550790001023001,619,Milwaukee - C 4,Milwaukee - C 0004
550790001023002,90,Milwaukee - C 4,Milwaukee - C 0004
550790001023003,0,Milwaukee - C 4,Milwaukee - C 0004
550790001023004,0,Milwaukee - C 4,Milwaukee - C 0005
550790001023005,0,Milwaukee - C 4,Milwaukee - C 0005
550790001023006,13,Milwaukee - C 4,Milwaukee - C 0004
550790001023007,0,Milwaukee - C 4,Milwaukee - C 0004
550790002011000,0,Milwaukee - C 1,Milwaukee - C 0001
550790002011001,13,Milwaukee - C 1,Milwaukee - C 0001
550790002011002,0,Milwaukee - C 1,Milwaukee - C 0001
550790002011003,0,Milwaukee - C 1,Milwaukee - C 0001
550790002011004,82,Milwaukee - C 1,Milwaukee - C 0001
550790002011005,1125,Milwaukee - C 1,Milwaukee - C 0001
550790002011006,19,Milwaukee - C 1,Milwaukee - C 0001
550790002011007,0,Milwaukee - C 1,Milwaukee - C 0001
550790002011008,0,Milwaukee - C 1,Milwaukee - C 0001
550790002011009,0,Milwaukee - C 1,Milwaukee - C 0001
550790002011010,179,Milwaukee - C 1,Milwaukee - C 0001
550790002012000,1638,Milwaukee - C 2,Milwaukee - C 0002
550790002012001,0,Milwaukee - C 2,Milwaukee - C 0006
550790002013000,588,Milwaukee - C 1,Milwaukee - C 0001
